date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:59	44/44	---M-Z	200	added ('OK')	text/plain	etag:W/%2218-6005cf5608a80%22	https://atomikgrowth.com/robots.txt		(from )
17:27:59	117896/117896	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20May%202024%2011:57:58%20GMT	https://atomikgrowth.com/	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/index.html	(from )
17:28:00	113381/113381	---M-Z	200	added ('OK')	text/css	etag:%221bae5-61867d50c415f;60083a402ad06	https://c39efe.p3cdn1.secureserver.net/wp-includes/css/dist/block-library/style.min.css?ver=6.5.3&time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-includes/css/dist/block-library/style.min6ed9.css	(from https://atomikgrowth.com/)
17:28:00	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-617dda691537f-gzip%22	https://c39efe.p3cdn1.secureserver.net/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.4&time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/plugins/contact-form-7/includes/css/stylesa380.css	(from https://atomikgrowth.com/)
17:28:00	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2218f49-6187e28f8ef1a-gzip%22	https://c39efe.p3cdn1.secureserver.net/wp-content/plugins/the-post-grid/assets/vendor/font-awesome/css/font-awesome.min.css?ver=7.7.3&time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/plugins/the-post-grid/assets/vendor/font-awesome/css/font-awesome.min7782.css	(from https://atomikgrowth.com/)
17:28:00	154870/154870	---M-Z	200	added ('OK')	text/css	etag:%2225cf6-6187e28f86279-gzip%22	https://c39efe.p3cdn1.secureserver.net/wp-content/plugins/the-post-grid/assets/css/thepostgrid.min.css?ver=7.7.3&time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/plugins/the-post-grid/assets/css/thepostgrid.min7782.css	(from https://atomikgrowth.com/)
17:28:01	5884/5884	---M-Z	200	added ('OK')	text/css	etag:%2216fc-60d4d86dae52f-gzip%22	https://c39efe.p3cdn1.secureserver.net/wp-content/themes/total-growth/style.css?ver=6.5.3&time=1715779995	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/c39efe.p3cdn1.secureserver.net/wp-content/themes/total-growth/style6ed9.css	(from https://atomikgrowth.com/)
17:28:01	1079/1079	---M--	200	added ('OK')	application/rss+xml	etag:%2267dc42ddc21a1a263be514cd8de71cf0%22	https://atomikgrowth.com/feed/	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/feed/index.html	(from https://atomikgrowth.com/)
17:28:01	737/737	---M--	200	added ('OK')	application/rss+xml	etag:%2267dc42ddc21a1a263be514cd8de71cf0%22	https://atomikgrowth.com/comments/feed/	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/atomikgrowth.com/comments/feed/index.html	(from https://atomikgrowth.com/)
17:28:01	45/45	---MC-	302	error ('Found')	text/plain	date:Fri,%2017%20May%202024%2011:58:01%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.css?ver=1.1	C:/Users/dines/OneDrive/Desktop/BOT/Vishnu_Portfolio/unpkg.com/aos@2.3.1/dist/aos.54963.delayed	(from https://atomikgrowth.com/)
